"","TCGA.SS.A7HO.01A","TCGA.D5.6930.01A","TCGA.A6.2684.11A","TCGA.CK.5913.01A","TCGA.AA.3548.01A","TCGA.A6.2671.11A","TCGA.AA.3520.11A","TCGA.D5.5541.01A","TCGA.D5.6538.01A","TCGA.A6.A565.01A","TCGA.A6.2683.11A","TCGA.G4.6586.01A","TCGA.A6.2680.11A","TCGA.AA.3527.11A","TCGA.AA.3525.11A","TCGA.A6.2685.11A","TCGA.AG.3600.01A","TCGA.CI.6624.01C","TCGA.AF.2692.11A","TCGA.AF.2689.11A","TCGA.AG.3881.01A","TCGA.AF.2691.11A"
"hsa-let-7a-5p",66146,97802,45053,118912,9809,22257,40456,136741,67181,96053,47618,71656,57022,44056,52122,44856,16686,147702,20585,48914,27032,24806
"hsa-let-7b-5p",32054,52861,108274,33368,11374,76243,65727,41669,24959,33064,114411,26651,85008,54076,105831,76166,18696,34387,88083,90413,25042,64656
"hsa-let-7c-5p",2370,3203,1684,1059,523,2766,3520,2823,650,579,2416,550,2533,2403,1611,2292,291,1872,3267,4231,1068,2477
"hsa-let-7d-5p",5335,1755,5182,1750,884,5277,4376,1960,2240,2868,6964,2141,9033,7404,5959,4036,388,2518,14326,12183,1091,8434
"hsa-let-7e-5p",6895,4297,749,2410,236,633,901,1705,3081,3260,853,2854,1450,1478,725,1082,126,6041,999,1706,550,1059
"hsa-let-7f-5p",24900,25335,483,67644,1720,205,368,81102,34099,36353,442,45521,948,1147,796,484,2315,134070,184,321,4663,229
"hsa-let-7g-5p",4792,1485,245,1934,528,73,215,2706,1986,4236,118,3727,430,319,300,136,604,7891,61,271,1048,107
"hsa-let-7i-5p",822,2425,485,1083,263,233,438,1853,567,2659,629,1806,468,497,812,317,334,4295,286,671,782,303
"hsa-miR-1-3p",9,131,0,18,12,0,0,79,68,125,2,14,1,5,0,0,8,238,1,0,165,2
"hsa-miR-1-5p",6,125,0,11,8,2,1,49,62,149,0,13,1,0,0,0,10,229,0,0,147,1
"hsa-miR-100-5p",1893,23517,1819,1827,817,904,1239,15402,11032,6276,1712,3322,1748,1452,2355,1402,1711,11388,1147,1927,4163,837
"hsa-miR-101-3p",19924,21376,78,4334,2558,90,87,17681,10039,24987,123,7351,41,59,93,68,5655,16641,104,116,13299,53
"hsa-miR-101-5p",19338,21505,91,4183,2465,94,67,17347,9687,24341,118,7088,41,59,106,57,5637,16413,103,128,13367,50
"hsa-miR-103a-2-5p",26223,25025,5859,47899,4323,2086,4404,42040,31790,74389,4960,21110,2423,2510,5960,3100,2850,72340,1469,2664,7194,1375
"hsa-miR-103a-3p",26205,24881,5794,47615,4302,2146,4463,41817,31516,74803,5050,21420,2419,2369,5834,3082,2884,72007,1457,2661,7049,1393
"hsa-miR-103b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-5p",2289,0,9,0,1,6,11,17,3,1,2,0,7,7,4,8,0,1344,10,17,0,8
"hsa-miR-106a-5p",201,19,5,19,73,5,3,31,58,69,6,50,2,1,2,1,193,57,11,4,192,2
"hsa-miR-106b-5p",4739,2192,541,1630,371,596,628,2040,2231,3547,1066,2687,590,770,1082,650,547,3170,792,1102,1257,700
"hsa-miR-107",159,266,36,302,47,22,18,329,228,365,42,241,21,17,55,30,67,318,8,19,85,8
"hsa-miR-10a-5p",857091,265619,17938,270500,139809,3790,4693,103726,480696,278528,9513,578117,9400,8927,15359,5124,78303,300199,3183,6180,284813,2796
"hsa-miR-10b-5p",600431,187326,10967,75237,35483,4447,8761,236903,118887,766598,9563,131955,5327,12150,17178,4219,14358,111127,1670,3798,34630,1414
"hsa-miR-1178-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1180-5p",118,55,91,101,5,123,87,49,87,68,185,55,136,116,161,113,4,42,262,151,16,133
"hsa-miR-1181",0,0,1,3,0,0,3,0,1,1,2,1,2,2,1,0,0,2,4,0,0,1
"hsa-miR-1182",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1185-5p",3,6,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,7,0,0,2,0
"hsa-miR-1193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1197",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-1199-5p",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1207-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-122-5p",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"hsa-miR-1224-5p",89,1,17,39,1,16,15,0,0,8,52,5,33,13,22,87,0,6,40,53,0,100
"hsa-miR-1225-5p",1,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,1,0
"hsa-miR-1226-5p",51,1,8,3,0,11,7,4,13,1,26,2,24,18,7,8,0,4,25,20,2,11
"hsa-miR-1227-5p",3,0,2,0,0,1,0,0,1,1,1,0,7,4,1,1,1,0,3,2,0,0
